lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C+3,g2,r17,g5,t20,0,6,0,21,10,1,0,0,-1,1,3,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,14,-8,-5.75,-5.75,2.25,0,0.73,3,23.09,46.76,22.94,46.61,0,133,27
,,,,,,,,,,,,,,,,,,L2,8,A,1650,C+3,g1,r15,g3,t12,-1,1,22,10,8,1,0,0,0,0,-6,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,112,1,1,-2.25,-3.25,-3.25,-0.32,10,25.18,49.42,25.11,49.35,18,132,28
,,,,,,,,,,,,,,,,,,L1,8,A,1650,C+3,g1,r15,g3,t12,0,1,4,10,8,1,0,0,0,0,-4,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,77,1.25,1.5,-3.75,-5,-5.25,0.11,12,24.21,48.41,24.19,48.39,0,132,12
,,,,,,,,,,,,,,,,,,L3,8,A,1650,C+3,g1,r15,g3,t12,-1,1,19,10,8,1,0,0,0,0,-3,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,133,1.25,2,-2,-3.25,-4,0.4,9,24.99,49.73,24.81,49.55,0,132,18
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C+3,g1,r14,g3,t13,0,5,13,7.1,4,1,0,0,0,0,5,5,0,7,0,22.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,112,-6.25,-3,0.12,6.37,3.12,0.56,2,23.9,48.01,23.87,47.98,5.9,131,13
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C+3,g1,r14,g3,t13,0,5,10,7.1,4,1,0,0,0,1,3,5,0,7,0,22.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,77,-2.75,-2.25,1.25,4,3.5,0.99,1,23.5,47.62,23.38,47.5,0,131,5.5
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C+3,g1,r14,g3,t13,0,5,10,7.1,4,1,0,0,0,-2,-7,3,0,7,0,22.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,182,-0.25,-3.5,-20.25,-20,-16.75,-3.28,11,28,51.87,27.4,51.27,0,131,5.7
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C+3,a1,r1,g2,t5,0,9,3,5.5,6,0,0,0,-1,1,3,5,0,0,0,0,0,23.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,70,-4.5,-3.75,-1,3.5,2.75,0.55,4,24.04,48.51,23.99,48.46,0,128,3.9
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C+3,a1,r1,g2,t5,0,9,2,5.5,6,0,0,0,0,0,0,3,0,0,0,0,0,23.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,14,-2,-2,-4.25,-2.25,-2.25,0.75,7,23.55,47.58,23.33,47.36,0,128,4.7
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C+3,a1,r1,g2,t5,0,9,7,5.5,6,0,0,0,-1,0,3,5,0,0,0,0,0,23.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,91,-2.5,-3,-0.01,2.49,2.99,1.14,3,23.97,48.53,23.59,48.15,0,128,6
,,,,,,,,,,,,,,,,,,L2,7,A,1650,C+3,g2,r16,g5,t18,0,17,3,62,12,0,0,0,0,0,5,9,0,0,0,0,0,23,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,133,-9.5,-7.5,-2.75,6.75,4.75,0.92,3,24.66,49.04,23.53,47.91,0,125,12
,,,,,,,,,,,,,,,,,,L1,7,A,1650,C+3,g2,r16,g5,t18,0,17,2,62,12,0,0,0,0,0,2,7,0,0,0,0,0,23,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,14,-5.25,-4.5,-4.75,0.5,-0.25,0.92,4,23.46,47.37,23.04,46.95,0,125,17
,,,,,,,,,,,,,,,,,,L3,7,A,1650,C+3,g2,r16,g5,t18,0,17,7,62,12,0,0,0,-1,2,3,5,0,0,0,0,0,23,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,154,-4,-2.5,0.12,4.12,2.62,-0.21,3,24.93,48.4,23.85,47.32,0,125,4.2
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,g2,r18,g1,t1,0,-3,0,102,11,0,0,0,0,0,0,5,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,g2,r18,g1,t1,0,-3,-1,102,11,0,0,0,3,-5,-5,5,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,gz,77,-2.5,-2.5,-4.75,-2.25,-2.25,-2.34,10,25.08,47.45,24.69,47.06,0,125,12
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,g2,r18,g1,t1,0,-3,1,102,11,0,0,0,-3,0,0,11,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tz,17,-2,-4.5,-7,-5,-2.5,-1.95,10,22.8,43.7,22.87,43.77,0,125,65
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C+3,g3,r24,g2,t6,0,11,-1,35,5,0,0,0,0,0,-2,7,0,2,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,112,-3.75,-4.25,-3.25,0.5,1,0.19,7,24.11,48.34,24.02,48.25,0,124,6.5
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C+3,g3,r24,g2,t6,0,11,-1,35,5,0,0,0,0,0,1,5,0,2,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,126,-5,-4.75,-4.25,0.75,0.5,0.2,6,23.61,47.3,23.47,47.16,0,124,9
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C+3,g3,r24,g2,t6,0,11,9,35,5,0,0,0,-1,0,-4,3,0,2,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,77,-1.5,-1.5,-5,-3.5,-3.5,0.15,11,24.55,48.75,24.27,48.47,0,124,12
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C+3,g4,r29,g4,t15,0,-4,6,5.2,7,1,0,0,0,0,0,11,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,126,-10.25,-11.25,-9.25,1,2,0.65,3,23.26,47.15,23.39,47.28,20.8,124,26
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C+3,g4,r29,g4,t15,0,-4,6,5.2,7,1,0,0,-2,0,-2,3,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,161,-1.25,-1.5,-1.5,-0.25,0,1.28,6,23.83,48.89,23.93,48.99,17.8,124,23
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C+3,g4,r29,g4,t15,0,-4,8,5.2,7,1,0,0,-1,1,0,1,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,14,-0.5,1,1.25,1.75,-0.25,1.02,2,23.03,46.98,23.13,47.08,0,124,8.3
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,a3,r6,g4,t14,0,-2,8,3.3,2,1,0,0,0,0,4,5,0,5,0,23,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,112,-3.25,-3.5,-1.25,2,2.25,0.4,4,23.72,47.91,23.99,48.18,25.7,122,29
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,a3,r6,g4,t14,0,-2,8,3.3,2,1,0,0,0,0,6,7,0,5,0,23,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,70,-6,-5,1,7,6,0.87,1,23.71,48.14,23.76,48.19,0,122,9.4
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,a3,r6,g4,t14,0,-2,6,3.3,2,1,0,0,1,-1,4,7,0,5,0,23,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,91,-5,-5.5,-4.5,0.5,1,0.74,2,23.14,47.24,23.51,47.61,14.7,122,18
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,g4,r30,g1,t2,0,14,-2,30,3,0,0,0,0,-2,-1,7,2,0,0,0,0,0,23.4,TRUE,FALSE,FALSE,FALSE,TRUE,ts,94,-3,-2.75,-5.5,-2.5,-2.75,-0.24,8,24.73,48.92,24.38,48.57,0,122,65
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,g4,r30,g1,t2,0,14,-3,30,3,0,0,0,0,1,1,11,2,0,0,0,0,0,23.4,TRUE,FALSE,FALSE,FALSE,TRUE,zc,108,-6.75,-5.25,-8,-1.25,-2.75,-0.94,8,25.29,49.32,24.9,48.93,0,122,48
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,g4,r30,g1,t2,0,14,-3,30,3,0,0,0,0,0,6,11,2,0,0,0,0,0,23.4,TRUE,FALSE,FALSE,FALSE,TRUE,zc,122,-6.25,-6.75,-6.5,-0.25,0.25,0.53,3,23.9,48.16,23.66,47.92,0,122,92
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,a4,r10,g3,t10,0,1,-1,182,9,0,0,0,1,2,2,11,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tz,17,-8.25,-7.25,-7.75,0.5,-0.5,-0.91,7,23.26,45.61,23.24,45.59,223,113,405
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,a4,r10,g3,t10,0,1,-9,182,9,0,0,0,0,1,1,11,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tz,129,-5.5,-8.25,-7,-1.5,1.25,-1.31,6,21.43,42.45,22.11,43.13,261,113,443
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,a4,r10,g3,t10,0,1,-12,182,9,0,0,0,0,0,0,11,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,gz,161,-7.75,-7.75,-10.75,-3,-3,0.71,11,22.24,45.94,22.69,46.39,229,113,411
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C+3,a3,r5,g1,t2,1,10,-15,6.1,1,0,0,0,1,0,9,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,10,-11.75,-8,-0.25,11.5,7.75,-0.69,1,23.09,45.61,22.84,45.36,0,117,4
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C+3,a3,r5,g1,t2,0,10,-2,6.1,1,0,0,0,0,-2,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,108,-2.5,-2.25,-3.5,-1,-1.25,-0.5,7,24.78,49.01,24.68,48.91,3.9,117,10
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C+3,a3,r5,g1,t2,0,10,-2,6.1,1,0,0,0,2,-1,-3,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,94,-3.75,-4.75,-4.5,-0.75,0.25,1.06,10,23.16,47.28,23.01,47.13,7.9,117,14
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,g1,r14,g2,t8,-1,6,16,6.7,2,0,0,0,0,0,-3,7,0,1,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,gs,88,-3.25,-3,-4.25,-1,-1.25,0.53,10,23.67,47.47,23.67,47.47,4.3,133,11
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,g1,r14,g2,t8,-1,6,17,6.7,2,0,0,0,-1,1,-2,11,0,1,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,gs,67,-9.25,-9,-7.25,2,1.75,0.87,7,23.45,47.2,23.3,47.05,19.3,133,26
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,g1,r14,g2,t8,-1,6,15,6.7,2,0,0,0,0,0,0,5,0,1,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,81,-4,-1.75,-2,2,-0.25,0.86,3,23.52,47.2,23.19,46.87,10.3,133,17
,,,,,,,,,,,,,,,,,,L1,7,B,1600,B+2,a1,r2,NULL,NULL,-1,4,9,49,4,1,0,0,-1,-1,-1,9,0,0,0,0,0,22.4,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,14,-11.25,-5.5,-10.5,0.75,-5,-1.48,10,24.51,47.22,24.41,47.12,0,123,44
,,,,,,,,,,,,,,,,,,L2,7,B,1600,B+2,a1,r2,NULL,NULL,-1,4,8,49,4,1,0,0,-2,-2,1,5,0,0,0,0,0,22.4,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,98,-2.75,-3.75,-7.75,-5,-4,-0.77,5,24.3,47.46,24.13,47.29,0,123,33
,,,,,,,,,,,,,,,,,,L3,7,B,1600,B+2,a1,r2,NULL,NULL,0,4,-5,49,4,1,0,0,0,-2,-3,9,0,0,0,0,0,22.4,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,134,-5,-4.25,-6.5,-1.5,-2.25,-0.59,11,23.23,46.07,23.31,46.15,0,123,30
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g1,r13,g1,t1,0,2,5,3,3,0,3,23.2,0,1,7,9,0,4,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,126,-8.25,-2.75,-0.06,8.19,2.69,0.91,1,23.2,46.64,22.65,46.09,22,133,25
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g1,r13,g1,t1,0,2,7,3,3,0,3,23.2,-1,3,3,5,0,4,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,70,-3,-2,3,6,5,0.1,1,23.1,46.08,23.05,46.03,0,133,6.1
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g1,r13,g1,t1,0,2,8,3,3,0,3,23.2,0,2,-3,11,0,4,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,105,-7.75,-7,-21.75,-14,-14.75,-3.51,12,27.73,51.28,27.26,50.81,0,133,8.9
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g2,r16,g2,t9,0,20,1,9.8,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,119,-3.5,-2.5,-0.5,3,2,-0.55,5,23.97,47.09,23.69,46.81,0,131,6.9
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g2,r16,g2,t9,0,20,2,9.8,8,0,0,0,0,0,-1,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,85,-1.5,-1.25,-1.75,-0.25,-0.5,1.03,4,22.6,45.68,22.1,45.18,0,131,2.8
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g2,r16,g2,t9,0,20,4,9.8,8,0,0,0,0,0,5,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,140,-6.75,-2.5,-0.5,6.25,2,0.81,1,22.82,46.15,22.62,45.95,6.2,131,16
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,g4,r29,g4,t15,0,-3,0,58,9,0,0,0,0,3,1,11,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,14,-6,-3.75,-2.75,3.25,1,-0.57,7,23.1,45.7,23.17,45.77,142,128,200
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,g4,r29,g4,t15,-1,-3,11,58,9,0,0,0,0,0,0,5,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,gs,158,-4.25,-6.75,-9.75,-5.5,-3,0.37,11,24.32,48.39,23.97,48.04,0,128,79
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,g4,r29,g4,t15,0,-3,-2,58,9,0,0,0,0,0,1,11,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,182,-8.75,-4.5,-6.5,2.25,-2,-0.34,8,23.96,47.21,23.54,46.79,145,128,203
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g3,r24,g4,t16,0,-7,0,7.9,1,1,0,0,1,-2,5,11,0,0,0,0,0,0,22.8,FALSE,FALSE,FALSE,FALSE,TRUE,zc,14,-4.75,-4.5,-2.5,2.25,2,-0.09,4,22.84,45.76,23.01,45.93,22.1,125,30
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g3,r24,g4,t16,0,-7,0,7.9,1,1,0,0,0,0,4,5,0,0,0,0,0,0,22.8,FALSE,FALSE,FALSE,FALSE,TRUE,tc,126,-5.5,-1,0.06,5.56,1.06,0.81,2,23.01,46.61,22.79,46.39,0,125,7.5
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g3,r24,g4,t16,0,-7,5,7.9,1,1,0,0,0,1,5,11,0,0,0,0,0,0,22.8,FALSE,FALSE,FALSE,FALSE,TRUE,tc,147,-7.75,-2.5,-1.25,6.5,1.25,0.66,2,23.39,47.04,23.11,46.76,2.1,125,10
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g1,r15,g1,t2,0,-8,0,4,5,0,0,0,-1,0,6,11,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,14,-5,-4.25,-1.5,3.5,2.75,-0.05,3,22.69,45.53,22.89,45.73,8,125,12
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g1,r15,g1,t2,0,-8,-3,4,5,0,0,0,1,0,-2,5,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,70,-4.25,-2.5,-2,2.25,0.5,1.3,10,22.22,45.57,21.98,45.33,10,125,14
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g1,r15,g1,t2,0,-8,-5,4,5,0,0,0,-5,0,5,9,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,85,-4.75,-5.25,-2.5,2.25,2.75,0.2,3,23.11,46,22.57,45.46,23,125,27
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g2,r17,g2,t7,0,32,0,13,7,0,0,0,0,0,3,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,105,-3,-4.25,-1.75,1.25,2.5,-0.43,5,25.4,49.27,24.3,48.17,0,118,3.5
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g2,r17,g2,t7,0,32,-4,13,7,0,0,0,1,2,1,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,126,-6,-0.5,-0.5,5.5,0,0.47,4,23.84,47.28,22.87,46.31,0,118,2.3
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g2,r17,g2,t7,0,32,-2,13,7,0,0,0,0,1,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,81,-3,-1.75,-2.75,0.25,-1,0.68,5,23.74,47.41,22.94,46.61,0,118,3
,,,,,,,,,,,,,,,,,,L2,7,B,1600,B+2,a1,r1,g3,t11,0,3,4,14,6,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,81,1.25,0.75,-1.25,-2.5,-2,0.85,7,23.22,47.09,23.12,46.99,0,117,14
,,,,,,,,,,,,,,,,,,L1,7,B,1600,B+2,a1,r1,g3,t11,0,3,3,14,6,0,0,0,-1,-1,-2,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,70,-1.5,-2.5,-6,-4.5,-3.5,-0.46,8,23.91,47.21,23.83,47.13,13,117,27
,,,,,,,,,,,,,,,,,,L3,7,B,1600,B+2,a1,r1,g3,t11,0,3,-2,14,6,0,0,0,0,2,-2,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,91,-6.5,-1.5,-2.75,3.75,-1.25,-0.61,9,23.03,45.57,23.1,45.64,29,117,43
,,,,,,,,,,,,,,,,,,L1,4,B,1600,B+2,a3,r6,g2,t9,0,-3,-1,13,10,0,3,23.6,0,-9,0,7,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,70,-1.75,-8.75,-37.25,-35.5,-28.5,-3.49,14,27.65,51.91,27.73,51.99,71,112,84
,,,,,,,,,,,,,,,,,,L3,4,B,1600,B+2,a3,r6,g2,t9,0,-3,-4,13,10,0,3,23.6,2,1,-5,3,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,105,-1.5,-1.25,-5.25,-3.75,-4,-1.74,9,25.54,49.17,25.27,48.9,0,112,4.2
,,,,,,,,,,,,,,,,,,L2,4,B,1600,B+2,a3,r6,g2,t9,0,-3,-4,13,10,0,3,23.6,0,0,-1,7,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,81,-3,-2.25,-4.25,-1.25,-2,0.6,9,22.95,46.7,23.05,46.8,0,112,3.7
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g4,r30,g2,t7,0,-6,4,11,4,0,0,0,0,0,0,5,0,0,0,0,0,22.6,0,FALSE,FALSE,FALSE,TRUE,FALSE,gs,109,-3,-2.25,-4.5,-1.5,-2.25,0.34,8,24.14,48.37,23.99,48.22,0,133,7.8
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g4,r30,g2,t7,0,-6,13,11,4,0,0,0,0,0,4,5,0,0,0,0,0,22.6,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,70,-3,-3.25,0.25,3.25,3.5,0.54,2,22.63,45.48,22.63,45.48,0,133,15
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g4,r30,g2,t7,0,-6,10,11,4,0,0,0,-1,-1,4,7,0,0,0,0,0,22.6,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,14,-8,-2.5,-2.5,5.5,0,-0.64,6,23.49,46.24,23.64,46.39,0,133,4.7
,,,,,,,,,,,,,,,,,,L1,4,B,1600,B+2,a1,r1,g2,t8,-1,24,11,8.4,10,0,0,0,-1,-1,3,5,0,0,0,0,23,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,70,-3,-1.75,-1,2,0.75,1.21,3,22.89,46.12,22.29,45.52,3.6,132,12
,,,,,,,,,,,,,,,,,,L3,4,B,1600,B+2,a1,r1,g2,t8,-1,24,17,8.4,10,0,0,0,0,0,0,5,0,0,0,0,23,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,ts,91,-3,-1.25,-8.25,-5.25,-7,-0.37,8,24.23,47.09,23.65,46.51,0,132,7.4
,,,,,,,,,,,,,,,,,,L2,4,B,1600,B+2,a1,r1,g2,t8,0,24,-1,8.4,10,0,0,0,0,0,0,5,0,0,0,0,23,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,ts,81,-5.5,-2.25,-2.25,3.25,0,0.75,2,23.09,46.61,22.75,46.27,14.6,132,23
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,g2,r18,g3,t12,0,4,-1,21,3,0,0,0,0,0,2,11,4,0,23.1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,gs,67,-10.75,-10.5,-4.5,6.25,6,1.58,1,22.24,45.99,22.15,45.9,0,127,29
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,g2,r18,g3,t12,0,4,-3,21,3,0,0,0,0,0,0,5,4,0,23.1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,gs,109,-1.5,-1.25,-2.5,-1,-1.25,0.59,7,23.84,48.15,23.65,47.96,0,127,7.7
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,g2,r18,g3,t12,0,4,1,21,3,0,0,0,-1,1,5,9,4,0,23.1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,gs,88,-3.75,-3.5,-0.75,3,2.75,1.18,2,22.87,46.67,22.64,46.44,0,127,15
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,g1,r14,g4,t15,1,-1,-4,4.9,12,1,0,0,1,2,4,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,147,-6,-1,0.5,6.5,1.5,0.68,3,23.31,47,22.91,46.6,0,126,9.2
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,g1,r14,g4,t15,1,-1,1,4.9,12,1,0,0,1,-1,6,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,196,-3.75,-2.25,0.25,4,2.5,1.18,2,22.7,46.75,22.89,46.94,0,126,4.3
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,g1,r14,g4,t15,0,-1,10,4.9,12,1,0,0,0,2,5,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,98,-3.5,-2,1.5,5,3.5,-0.22,1,23.2,45.96,23.23,45.99,0,126,6
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g1,r13,g2,t9,0,1,0,5.1,6,0,3,23.2,0,0,0,5,0,0,0,0,0,22.2,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g1,r13,g2,t9,0,1,0,5.1,6,0,3,23.2,0,0,0,5,0,0,0,0,0,22.2,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g1,r13,g2,t9,-1,1,7,5.1,6,0,3,23.2,2,1,4,7,0,0,0,0,0,22.2,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,134,-4.25,-4.25,-1.25,3,3,0.02,3,22.82,45.46,22.79,45.43,195.9,125,201
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,g3,r24,g3,t10,0,7,8,6.7,7,0,0,0,3,2,4,9,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,zc,182,-3.75,-3.5,-2,1.75,1.5,0.73,2,21.94,44.63,22.16,44.85,11.3,125,18
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,g3,r24,g3,t10,1,7,-3,6.7,7,0,0,0,-1,0,13,11,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,zc,134,-8.75,-5.5,0.12,8.87,5.62,0.27,1,22.29,44.73,22.1,44.54,0,125,9.1
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,g3,r24,g3,t10,0,7,4,6.7,7,0,0,0,1,1,2,5,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,98,-2,-1.5,-1.5,0.5,0,-0.4,2,23.59,46.51,23.42,46.34,0,125,8.6
,,,,,,,,,,,,,,,,,,L3,7,B,1600,B+2,a4,r10,g4,t16,-1,-15,5,291,11,0,9,23,0,0,0,5,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,91,-3.75,-4,-8,-4.25,-4,-0.94,5,23.13,45.34,23.27,45.48,0,119,33
